brand_name,property_id,period,sessionDefaultChannelGrouping,sessions,totalUsers,conversions,engagementRate
Anthony,373485153,Feb2024,Cross-network,10862,8571,84,0.26901123181734488
Anthony,373485153,Feb2024,Paid Search,10758,9319,111,0.21332961517010596
Anthony,373485153,Feb2024,Direct,10757,7839,156,0.311332155805522
Anthony,373485153,Feb2024,Organic Social,5114,4368,28,0.12905748924520924
Anthony,373485153,Feb2024,Organic Search,4983,3887,264,0.62030905077262688
Anthony,373485153,Feb2024,Unassigned,2644,2390,593,0.18116490166414523
Anthony,373485153,Feb2024,Referral,1389,1335,18,0.14614830813534918
Anthony,373485153,Feb2024,Paid Other,315,303,1,0.2857142857142857
Anthony,373485153,Feb2024,Display,98,92,0,0.32653061224489793
Anthony,373485153,Feb2024,Organic Video,6,5,0,0.5
Anthony,373485153,Feb2024,Organic Shopping,1,1,0,0
Anthony,373485153,Feb2025,Paid Search,42665,30760,5537,0.21118012422360249
Anthony,373485153,Feb2025,Cross-network,8110,5991,2024,0.37916152897657213
Anthony,373485153,Feb2025,Unassigned,4835,4474,1028,0.22275077559462256
Anthony,373485153,Feb2025,Direct,4786,4188,3959,0.49874634350188046
Anthony,373485153,Feb2025,Organic Search,3921,3212,2665,0.662076001020148
Anthony,373485153,Feb2025,Referral,1222,1146,31,0.10310965630114566
Anthony,373485153,Feb2025,Organic Video,565,475,340,0.63539823008849561
Anthony,373485153,Feb2025,Organic Social,498,447,21,0.16867469879518071
Anthony,373485153,Feb2025,Display,481,429,2,0.14760914760914762
Anthony,373485153,Feb2025,Paid Other,114,109,55,0.096491228070175433
Anthony,373485153,Feb2025,Organic Shopping,2,2,0,0
Anthony,373485153,Feb2025,Paid Video,1,1,0,0
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,Organic Search,4648,3843,0,0.50494836488812389
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,Direct,441,326,0,0.39909297052154197
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,Paid Search,296,263,0,0.51689189189189189
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,Organic Social,47,42,0,0.38297872340425532
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,Referral,46,35,0,0.60869565217391308
"Anytime Plumbing, Heating & Cooling",297219515,Feb2023,Unassigned,8,8,0,0
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,Referral,2265,2245,2,0.015452538631346579
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,Organic Search,2088,1653,89,0.44204980842911878
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,Direct,830,798,9,0.18674698795180722
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,Paid Search,205,190,26,0.53658536585365857
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,Unassigned,32,86,94,0.0625
"Anytime Plumbing, Heating & Cooling",297219515,Feb2024,Organic Social,3,3,0,0.66666666666666663
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,Referral,2482,2445,5,0.95608380338436749
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,Organic Search,2327,1868,52,0.90159003008165017
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,Unassigned,2303,2069,114,0.8184976118106817
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,Direct,513,452,2,0.78557504873294348
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,Paid Search,478,443,14,0.57949790794979084
"Anytime Plumbing, Heating & Cooling",297219515,Feb2025,Organic Social,12,12,0,0.91666666666666663
Apollo Home,361108781,Feb2024,Organic Search,14236,12142,366,0.557881427367238
Apollo Home,361108781,Feb2024,Referral,4045,4017,0,0.045488257107540175
Apollo Home,361108781,Feb2024,Direct,3011,2555,89,0.28495516439721025
Apollo Home,361108781,Feb2024,Unassigned,2399,2320,704,0.17757398916215089
Apollo Home,361108781,Feb2024,Organic Social,1772,1526,1,0.11512415349887133
Apollo Home,361108781,Feb2024,Paid Search,1034,831,125,0.49129593810444872
Apollo Home,361108781,Feb2024,Cross-network,557,446,21,0.3608617594254937
Apollo Home,361108781,Feb2024,Organic Video,222,214,0,0.15315315315315314
Apollo Home,361108781,Feb2024,Display,89,75,0,0.14606741573033707
Apollo Home,361108781,Feb2024,Paid Other,3,3,0,0
Apollo Home,361108781,Feb2024,Email,2,2,2,1
Apollo Home,361108781,Feb2025,Organic Search,7406,6257,2909,0.63286524439643532
Apollo Home,361108781,Feb2025,Referral,4654,4598,107,0.068758057584873231
Apollo Home,361108781,Feb2025,Unassigned,3343,3079,517,0.10708944062219564
Apollo Home,361108781,Feb2025,Paid Search,2912,2525,1251,0.55631868131868134
Apollo Home,361108781,Feb2025,Direct,2879,2303,5230,0.614102118791247
Apollo Home,361108781,Feb2025,Paid Social,1543,1416,5,0.16267012313674659
Apollo Home,361108781,Feb2025,Display,524,476,8,0.12977099236641221
Apollo Home,361108781,Feb2025,Cross-network,420,374,187,0.46190476190476193
Apollo Home,361108781,Feb2025,Organic Social,68,63,34,0.6470588235294118
Apollo Home,361108781,Feb2025,Organic Video,6,2,0,0
Apollo Home,361108781,Feb2025,Organic Shopping,5,5,0,0
Apollo Home,361108781,Feb2025,Email,1,1,0,0
Arctic Air Conditioning,353108280,Feb2023,Paid Search,1604,1453,55,0.50062344139650872
Arctic Air Conditioning,353108280,Feb2023,Organic Search,859,740,17,0.610011641443539
Arctic Air Conditioning,353108280,Feb2023,Organic Social,451,371,0,0.25277161862527714
Arctic Air Conditioning,353108280,Feb2023,Direct,399,341,15,0.41102756892230574
Arctic Air Conditioning,353108280,Feb2023,Display,73,46,0,0.38356164383561642
Arctic Air Conditioning,353108280,Feb2023,Unassigned,42,42,1,0
Arctic Air Conditioning,353108280,Feb2023,Referral,22,16,0,0.68181818181818177
Arctic Air Conditioning,353108280,Feb2023,Email,4,4,3,0.75
Arctic Air Conditioning,353108280,Feb2024,Paid Search,6901,6422,458,0.47311983770468047
Arctic Air Conditioning,353108280,Feb2024,Referral,4905,4753,16,0.049337410805300713
Arctic Air Conditioning,353108280,Feb2024,Organic Search,3485,3041,277,0.62209469153515062
Arctic Air Conditioning,353108280,Feb2024,Direct,2595,2401,137,0.19306358381502889
Arctic Air Conditioning,353108280,Feb2024,Unassigned,1370,1201,64,0.11021897810218978
Arctic Air Conditioning,353108280,Feb2024,Cross-network,680,657,68,0.54705882352941182
Arctic Air Conditioning,353108280,Feb2024,Email,115,91,683,0.77391304347826084
Arctic Air Conditioning,353108280,Feb2024,Paid Social,103,101,1,0.1650485436893204
Arctic Air Conditioning,353108280,Feb2024,Organic Social,50,28,1,0.56
Arctic Air Conditioning,353108280,Feb2024,Display,22,18,0,0.27272727272727271
Arctic Air Conditioning,353108280,Feb2025,Paid Search,28372,24322,2857,0.208127731566333
Arctic Air Conditioning,353108280,Feb2025,Organic Search,5169,4200,1363,0.59315147997678463
Arctic Air Conditioning,353108280,Feb2025,Cross-network,3768,3320,1283,0.37234607218683652
Arctic Air Conditioning,353108280,Feb2025,Unassigned,2783,2586,443,0.12935680919870643
Arctic Air Conditioning,353108280,Feb2025,Referral,2781,2710,116,0.12333692916217188
Arctic Air Conditioning,353108280,Feb2025,Direct,2098,1824,510,0.37559580552907529
Arctic Air Conditioning,353108280,Feb2025,Paid Social,1085,898,270,0.26728110599078342
Arctic Air Conditioning,353108280,Feb2025,Display,312,298,2,0.060897435897435896
Arctic Air Conditioning,353108280,Feb2025,Organic Social,118,115,24,0.67796610169491522
Arctic Air Conditioning,353108280,Feb2025,Email,79,64,173,0.74683544303797467
Arctic Air Conditioning,353108280,Feb2025,Organic Shopping,4,4,0,0
Arctic Air Conditioning,353108280,Feb2025,Organic Video,1,1,0,0
Aztec Plumbing,261931913,Feb2023,Organic Search,16450,13964,0,0.56753799392097259
Aztec Plumbing,261931913,Feb2023,Paid Search,4436,3461,0,0.63863841298467083
Aztec Plumbing,261931913,Feb2023,Direct,2900,2395,0,0.26551724137931032
Aztec Plumbing,261931913,Feb2023,Unassigned,1287,989,0,0.14219114219114218
Aztec Plumbing,261931913,Feb2023,Referral,717,704,0,0.085076708507670851
Aztec Plumbing,261931913,Feb2023,Paid Other,520,484,0,0.63461538461538458
Aztec Plumbing,261931913,Feb2023,Organic Social,249,240,0,0.31325301204819278
Aztec Plumbing,261931913,Feb2023,Organic Video,4,4,0,0
Aztec Plumbing,261931913,Feb2023,Display,2,2,0,0
Aztec Plumbing,261931913,Feb2024,Organic Search,8974,7614,0,0.57176287051482055
Aztec Plumbing,261931913,Feb2024,Direct,2184,1962,0,0.26053113553113555
Aztec Plumbing,261931913,Feb2024,Referral,939,901,0,0.085197018104366348
Aztec Plumbing,261931913,Feb2024,Unassigned,658,599,0,0.12613981762917933
Aztec Plumbing,261931913,Feb2024,Organic Social,474,466,0,0.16244725738396623
Aztec Plumbing,261931913,Feb2024,Paid Other,112,110,0,0.8214285714285714
Aztec Plumbing,261931913,Feb2024,Paid Search,107,102,0,0.87850467289719625
Aztec Plumbing,261931913,Feb2024,Organic Video,24,22,0,0.20833333333333334
Aztec Plumbing,261931913,Feb2025,Cross-network,9923,9514,276,0.16335785548725185
Aztec Plumbing,261931913,Feb2025,Organic Search,9270,7881,693,0.5869471413160734
Aztec Plumbing,261931913,Feb2025,Unassigned,3116,2948,246,0.13157894736842105
Aztec Plumbing,261931913,Feb2025,Referral,2463,2335,212,0.15874949248883474
Aztec Plumbing,261931913,Feb2025,Direct,1430,1266,352,0.43986013986013989
Aztec Plumbing,261931913,Feb2025,Paid Search,1246,1003,595,0.5208667736757624
Aztec Plumbing,261931913,Feb2025,Paid Social,1044,909,162,0.37643678160919541
Aztec Plumbing,261931913,Feb2025,Organic Social,210,211,3,0.88571428571428568
Aztec Plumbing,261931913,Feb2025,Organic Shopping,4,4,4,1
Bell Brothers,361706527,Feb2024,Cross-network,1323,1141,75,0.34240362811791381
Bell Brothers,361706527,Feb2024,Paid Search,945,856,42,0.30264550264550266
Bell Brothers,361706527,Feb2024,Organic Search,640,545,37,0.46875
Bell Brothers,361706527,Feb2024,Referral,629,619,1,0.060413354531001592
Bell Brothers,361706527,Feb2024,Unassigned,615,571,149,0.14959349593495935
Bell Brothers,361706527,Feb2024,Direct,567,529,18,0.26631393298059963
Bell Brothers,361706527,Feb2024,Paid Social,277,272,0,0.025270758122743681
Bell Brothers,361706527,Feb2024,Email,72,72,0,0
Bell Brothers,361706527,Feb2024,Organic Social,41,36,0,0.34146341463414637
Bell Brothers,361706527,Feb2024,Display,25,25,0,0.04
Bell Brothers,361706527,Feb2024,Paid Video,1,1,0,1
Bell Brothers,361706527,Feb2025,Paid Search,1874,1707,71,0.26200640341515474
Bell Brothers,361706527,Feb2025,Cross-network,1027,818,53,0.37585199610516068
Bell Brothers,361706527,Feb2025,Organic Social,154,152,0,0.11038961038961038
Bell Brothers,361706527,Feb2025,Unassigned,68,135,124,0.044117647058823532
Bell Brothers,361706527,Feb2025,Direct,60,59,26,0.48333333333333334
Bell Brothers,361706527,Feb2025,Organic Search,60,60,21,0.21666666666666667
Bell Brothers,361706527,Feb2025,Paid Social,4,2,0,0
Bell Brothers,361706527,Feb2025,Referral,3,3,2,1
Black Hills Inc,383262078,Feb2024,Paid Search,7459,6282,91,0.24011261563212227
Black Hills Inc,383262078,Feb2024,Organic Search,7387,6365,134,0.56328685528631384
Black Hills Inc,383262078,Feb2024,Direct,1538,1414,30,0.24512353706111834
Black Hills Inc,383262078,Feb2024,Unassigned,985,932,197,0.15837563451776648
Black Hills Inc,383262078,Feb2024,Referral,954,920,8,0.12893081761006289
Black Hills Inc,383262078,Feb2024,Paid Social,381,364,0,0.049868766404199474
Black Hills Inc,383262078,Feb2024,Organic Video,208,185,5,0.28846153846153844
Black Hills Inc,383262078,Feb2024,Organic Social,71,71,0,0.15492957746478872
Black Hills Inc,383262078,Feb2024,Paid Other,16,13,0,0.3125
Black Hills Inc,383262078,Feb2024,Paid Video,4,4,0,0
Black Hills Inc,383262078,Feb2024,Display,3,1,0,0
Black Hills Inc,383262078,Feb2025,Paid Search,15644,12936,120,0.18032472513423678
Black Hills Inc,383262078,Feb2025,Organic Search,6393,5570,174,0.60175191615829815
Black Hills Inc,383262078,Feb2025,Cross-network,2793,2217,54,0.39026136770497671
Black Hills Inc,383262078,Feb2025,Direct,1356,1195,48,0.35324483775811211
Black Hills Inc,383262078,Feb2025,Unassigned,1166,1098,184,0.093481989708404808
Black Hills Inc,383262078,Feb2025,Referral,931,918,5,0.094522019334049412
Black Hills Inc,383262078,Feb2025,Display,370,350,0,0.15405405405405406
Black Hills Inc,383262078,Feb2025,Organic Social,21,20,1,0.47619047619047616
Black Hills Inc,383262078,Feb2025,Email,3,1,0,0.33333333333333331
Black Hills Inc,383262078,Feb2025,Organic Shopping,1,1,0,0
Campbell and Company,319229254,Feb2023,Paid Search,3365,2758,63,0.27904903417533433
Campbell and Company,319229254,Feb2023,Display,1730,1612,0,0.14277456647398845
Campbell and Company,319229254,Feb2023,Organic Search,1596,1283,97,0.59398496240601506
Campbell and Company,319229254,Feb2023,Cross-network,1275,1035,11,0.24705882352941178
Campbell and Company,319229254,Feb2023,Direct,1021,875,103,0.53085210577864839
Campbell and Company,319229254,Feb2023,Unassigned,389,374,1,0.079691516709511565
Campbell and Company,319229254,Feb2023,Referral,146,95,2,0.65753424657534243
Campbell and Company,319229254,Feb2023,Email,111,93,1,0.47747747747747749
Campbell and Company,319229254,Feb2023,Organic Social,42,40,0,0.52380952380952384
Campbell and Company,319229254,Feb2024,Paid Search,1529,1320,299,0.57684761281883579
Campbell and Company,319229254,Feb2024,Organic Search,1527,1207,258,0.650294695481336
Campbell and Company,319229254,Feb2024,Referral,1370,1329,23,0.066423357664233573
Campbell and Company,319229254,Feb2024,Unassigned,886,713,129,0.1580135440180587
Campbell and Company,319229254,Feb2024,Direct,823,757,137,0.402187120291616
Campbell and Company,319229254,Feb2024,Cross-network,261,200,105,0.67049808429118773
Campbell and Company,319229254,Feb2024,Email,120,88,165,0.70833333333333337
Campbell and Company,319229254,Feb2024,Organic Social,115,113,5,0.19130434782608696
Campbell and Company,319229254,Feb2024,Display,5,4,0,0.4
Campbell and Company,319229254,Feb2025,Paid Search,4566,3899,895,0.26565922032413491
Campbell and Company,319229254,Feb2025,Referral,2494,2438,14,0.051724137931034482
Campbell and Company,319229254,Feb2025,Organic Search,1743,1361,885,0.6224899598393574
Campbell and Company,319229254,Feb2025,Cross-network,1550,1352,347,0.3
Campbell and Company,319229254,Feb2025,Unassigned,1325,1219,248,0.11018867924528301
Campbell and Company,319229254,Feb2025,Direct,1258,1093,746,0.4578696343402226
Campbell and Company,319229254,Feb2025,Organic Social,243,237,22,0.12757201646090535
Campbell and Company,319229254,Feb2025,Email,16,1,3,0.9375
Campbell and Company,319229254,Feb2025,Organic Video,6,5,1,0.16666666666666666
Campbell and Company,319229254,Feb2025,Organic Shopping,1,1,0,0
Cassell Brothers,361657600,Feb2024,Paid Search,21309,18390,50,0.1020226195504247
Cassell Brothers,361657600,Feb2024,Cross-network,7534,5610,55,0.20560127422352004
Cassell Brothers,361657600,Feb2024,Referral,1517,1482,11,0.07976268951878708
Cassell Brothers,361657600,Feb2024,Direct,1067,978,41,0.48359887535145268
Cassell Brothers,361657600,Feb2024,Unassigned,769,641,38,0.10273081924577374
Cassell Brothers,361657600,Feb2024,Organic Search,626,470,53,0.58785942492012777
Cassell Brothers,361657600,Feb2024,Organic Social,486,461,2,0.080246913580246909
Cassell Brothers,361657600,Feb2024,Organic Video,5,4,0,0.2
Cassell Brothers,361657600,Feb2024,Paid Video,3,3,0,0
Cassell Brothers,361657600,Feb2024,Paid Other,2,2,0,0.5
Cassell Brothers,361657600,Feb2024,Display,1,1,0,0
Cassell Brothers,361657600,Feb2025,Direct,1621,1447,19,0.21344848858729179
Cassell Brothers,361657600,Feb2025,Unassigned,1355,1219,73,0.13062730627306274
Cassell Brothers,361657600,Feb2025,Referral,1122,1095,4,0.0677361853832442
Cassell Brothers,361657600,Feb2025,Organic Search,645,528,60,0.648062015503876
Cassell Brothers,361657600,Feb2025,Paid Social,514,457,0,0.26459143968871596
